"","V1","V2"
"1","6.0.A","14.4572296124"
"2","6.1.A","8.7923752871"
"3","6.2.A","9.0361373709"
"4","6.3.A","5.5639950894"
"5","6.4.A","8.0181679364"
"6","6.5.A","10.7611702245"
"7","6.6.A","6.2992375308"
"8","6.7.A","3.8852719867"
"9","6.8.A","5.987517912"
"10","6.9.A","1.4630716003"
"11","6.10.A","8.4543311228"
"12","6.11.A","7.0460498001"
"13","6.12.A","1.6672558321"
"14","6.13.A","2.7433969273"
"15","6.14.A","3.4459212931"
"16","6.15.A","5.9503551393"
"17","6.16.A","5.5090162079"
"18","6.17.A","1.7596023871"
"19","6.18.A","2.8853864112"
"20","6.19.A","4.4338106224"
"21","6.20.A","4.5938009968"
"22","6.21.A","1.6082084964"
"23","6.22.A","0"
"24","6.23.A","0"
"25","6.24.A","1.2150661514"
"26","6.25.A","0"
"27","6.26.A","4.2240417073"
"28","6.27.A","1.8328167801"
"29","6.28.A","3.0644146827"
"30","6.29.A","0"
"31","6.30.A","0"
"32","6.31.A","0"
"33","6.32.A","0"
"34","6.33.A","2.2996460267"
"35","6.34.A","1.7353037858"
"36","6.35.A","0"
